query_id	corpus_id	rank
0	531578	1
0	52351	2
0	865	3
0	5298	4
0	18934	5
0	571062	6
0	417981	7
0	216077	8
0	397608	9
0	324911	10
4	541809	1
4	41793	2
4	1642	3
4	397608	4
4	531578	5
4	26014	6
4	593	7
4	865	8
4	53755	9
4	434846	10
5	75073	1
5	45718	2
5	3763	3
5	282947	4
5	104485	5
5	270420	6
5	480717	7
5	11572	8
5	23411	9
5	115274	10
7	297841	1
7	865	2
7	257168	3
7	129355	4
7	338700	5
7	141458	6
7	402437	7
7	468741	8
7	288	9
7	19640	10
9	153377	1
9	330	2
9	283505	3
9	172745	4
9	55500	5
9	167494	6
9	540634	7
9	562176	8
9	525149	9
9	313361	10
6	984	1
6	560251	2
6	564488	3
6	210300	4
6	382442	5
6	257841	6
6	16585	7
6	188530	8
6	499098	9
6	78139	10
11	135196	1
11	552216	2
11	172336	3
11	2205	4
11	133472	5
11	985	6
11	98636	7
11	591416	8
11	202630	9
11	400230	10
12	251649	1
12	865	2
12	129355	3
12	5298	4
12	158258	5
12	338700	6
12	192332	7
12	390368	8
12	192516	9
12	245447	10
13	11021	1
13	5587	2
13	865	3
13	348480	4
13	5298	5
13	268257	6
13	454208	7
13	503678	8
13	48840	9
13	431230	10
14	5054	1
14	81655	2
14	466587	3
14	350497	4
14	379445	5
14	398960	6
14	96910	7
14	435404	8
14	50119	9
14	106185	10
16	16187	1
16	135073	2
16	598646	3
16	865	4
16	128045	5
16	14768	6
16	194319	7
16	362060	8
16	14255	9
16	454082	10
21	41793	1
21	16187	2
21	532888	3
21	292919	4
21	581265	5
21	598646	6
21	522619	7
21	474795	8
21	577554	9
21	124476	10
19	354716	1
19	46737	2
19	865	3
19	1011	4
19	248629	5
19	234510	6
19	133235	7
19	115111	8
19	1705	9
19	536849	10
20	541809	1
20	865	2
20	385929	3
20	52351	4
20	73427	5
20	268747	6
20	97719	7
20	338700	8
20	540395	9
20	245447	10
25	354716	1
25	6341	2
25	274721	3
25	12729	4
25	74688	5
25	147163	6
25	5715	7
25	216077	8
25	245447	9
25	114494	10
27	129988	1
27	4883	2
27	199069	3
27	135196	4
27	292989	5
27	2456	6
27	2205	7
27	212434	8
27	531918	9
27	865	10
23	326843	1
23	57044	2
23	10397	3
23	160208	4
23	460721	5
23	341424	6
23	218468	7
23	188220	8
23	394597	9
23	865	10
28	93828	1
28	865	2
28	234510	3
28	223170	4
28	64769	5
28	40044	6
28	428533	7
28	350669	8
28	222049	9
28	196961	10
30	5203	1
30	190635	2
30	112154	3
30	2460	4
30	42044	5
30	19233	6
30	487621	7
30	403934	8
30	354618	9
30	509075	10
31	11539	1
31	50267	2
31	176124	3
31	865	4
31	468086	5
31	64899	6
31	158845	7
31	68302	8
31	81527	9
31	527443	10
32	153505	1
32	207450	2
32	15994	3
32	6902	4
32	52269	5
32	55500	6
32	338700	7
32	244445	8
32	276933	9
32	588253	10
33	648	1
33	865	2
33	425387	3
33	402230	4
33	100	5
33	66302	6
33	137474	7
33	343	8
33	302	9
33	22360	10
35	56320	1
35	334107	2
35	10531	3
35	111033	4
35	748	5
35	80156	6
35	290184	7
35	38335	8
35	578677	9
35	865	10
36	188816	1
36	33883	2
36	175768	3
36	81343	4
36	47527	5
36	65180	6
36	2860	7
36	484761	8
36	6479	9
36	209974	10
37	84528	1
37	1011	2
37	11494	3
37	158136	4
37	527776	5
37	248629	6
37	9158	7
37	4331	8
37	44955	9
37	28160	10
41	277810	1
41	276574	2
41	303416	3
41	5778	4
41	7074	5
41	447698	6
41	2128	7
41	865	8
41	84642	9
41	2103	10
43	483305	1
43	6543	2
43	1897	3
43	6106	4
43	9168	5
43	16187	6
43	92888	7
43	30935	8
43	438975	9
43	469776	10
45	427884	1
45	585332	2
45	545305	3
45	179891	4
45	67663	5
45	34626	6
45	63042	7
45	440806	8
45	284610	9
45	261220	10
46	48569	1
46	865	2
46	190485	3
46	91325	4
46	112039	5
46	164040	6
46	123693	7
46	284578	8
46	184698	9
46	18647	10
47	135196	1
47	65040	2
47	30623	3
47	865	4
47	542213	5
47	133299	6
47	5298	7
47	177946	8
47	2205	9
47	19640	10
48	316490	1
48	571143	2
48	64556	3
48	586300	4
48	111274	5
48	865	6
48	322838	7
48	312166	8
48	452837	9
48	237579	10
49	45718	1
49	156756	2
49	34338	3
49	3763	4
49	309171	5
49	9814	6
49	120321	7
49	4066	8
49	65227	9
49	331248	10
51	865	1
51	454537	2
51	5298	3
51	398365	4
51	590775	5
51	57263	6
51	67731	7
51	234510	8
51	3012	9
51	815	10
52	297427	1
52	1099	2
52	387010	3
52	57211	4
52	225380	5
52	220241	6
52	4331	7
52	125111	8
52	388713	9
52	14493	10
53	13398	1
53	7632	2
53	135017	3
53	5298	4
53	9354	5
53	218990	6
53	158058	7
53	61947	8
53	70315	9
53	146657	10
54	438801	1
54	541809	2
54	257168	3
54	209107	4
54	223170	5
54	1705	6
54	53853	7
54	438	8
54	122638	9
54	100884	10
57	78297	1
57	391403	2
57	66119	3
57	175339	4
57	269064	5
57	9114	6
57	63294	7
57	146657	8
57	65404	9
57	282196	10
59	269169	1
59	16187	2
59	6543	3
59	155648	4
59	64868	5
59	8200	6
59	46345	7
59	542213	8
59	89523	9
59	118038	10
61	41793	1
61	509218	2
61	128533	3
61	54333	4
61	187085	5
61	214358	6
61	325342	7
61	60737	8
61	56	9
61	490223	10
62	5587	1
62	544381	2
62	15323	3
62	541809	4
62	55200	5
62	390435	6
62	540395	7
62	1642	8
62	216077	9
62	5298	10
63	1168	1
63	305065	2
63	2512	3
63	552581	4
63	13215	5
63	206466	6
63	8854	7
63	497370	8
63	64556	9
63	994	10
64	28764	1
64	350315	2
64	9114	3
64	6341	4
64	254158	5
64	174025	6
64	254151	7
64	574417	8
64	128861	9
64	223624	10
65	5219	1
65	580624	2
65	50000	3
65	865	4
65	4168	5
65	195207	6
65	400230	7
65	364378	8
65	109203	9
65	310103	10
66	321954	1
66	405412	2
66	397608	3
66	91545	4
66	88967	5
66	431782	6
66	92144	7
66	5934	8
66	154931	9
66	540395	10
67	370815	1
67	358795	2
67	365963	3
67	294864	4
67	962	5
67	865	6
67	178586	7
67	366231	8
67	18792	9
67	513079	10
69	132745	1
69	354716	2
69	153377	3
69	41793	4
69	140966	5
69	274721	6
69	201546	7
69	18850	8
69	245447	9
69	130631	10
70	16997	1
70	5934	2
70	150842	3
70	541809	4
70	397608	5
70	427884	6
70	1642	7
70	865	8
70	40257	9
70	58244	10
71	6341	1
71	502366	2
71	443487	3
71	372052	4
71	267422	5
71	493638	6
71	2460	7
71	173929	8
71	183839	9
71	35530	10
72	153377	1
72	234510	2
72	132780	3
72	546372	4
72	310136	5
72	382908	6
72	257168	7
72	418630	8
72	588253	9
72	207449	10
74	110046	1
74	111048	2
74	430100	3
74	1577	4
74	211451	5
74	427884	6
74	380763	7
74	153812	8
74	75132	9
74	865	10
75	135196	1
75	308938	2
75	413229	3
75	13034	4
75	147163	5
75	687	6
75	63042	7
75	11311	8
75	309909	9
75	73427	10
76	28764	1
76	6341	2
76	9353	3
76	33304	4
76	70738	5
76	571694	6
76	177074	7
76	299211	8
76	226201	9
76	24933	10
78	576985	1
78	4331	2
78	9753	3
78	15643	4
78	1705	5
78	10180	6
78	71987	7
78	390368	8
78	24890	9
78	73427	10
80	52735	1
80	170511	2
80	127074	3
80	12382	4
80	1311	5
80	489561	6
80	340287	7
80	63501	8
80	865	9
80	177137	10
81	86041	1
81	324306	2
81	123170	3
81	264192	4
81	52579	5
81	201258	6
81	2718	7
81	505854	8
81	58244	9
81	185626	10
82	51260	1
82	172745	2
82	560885	3
82	519608	4
82	98090	5
82	485140	6
82	83733	7
82	81494	8
82	4331	9
82	500708	10
83	5191	1
83	262733	2
83	2460	3
83	335859	4
83	165619	5
83	355592	6
83	311815	7
83	164795	8
83	344052	9
83	495751	10
85	24612	1
85	3763	2
85	340299	3
85	553540	4
85	105210	5
85	71338	6
85	865	7
85	127185	8
85	99476	9
85	94730	10
86	506108	1
86	591357	2
86	440506	3
86	446870	4
86	68969	5
86	474974	6
86	297965	7
86	589123	8
86	195207	9
86	547301	10
87	261856	1
87	50000	2
87	473957	3
87	8186	4
87	36625	5
87	92462	6
87	162589	7
87	28758	8
87	44593	9
87	2346	10
88	31064	1
88	360199	2
88	415946	3
88	14061	4
88	4941	5
88	76695	6
88	205790	7
88	209257	8
88	111867	9
88	386437	10
91	586326	1
91	59303	2
91	523431	3
91	4331	4
91	332626	5
91	197501	6
91	156743	7
91	385221	8
91	489383	9
91	310190	10
92	117965	1
92	2128	2
92	7074	3
92	5778	4
92	484904	5
92	569342	6
92	259227	7
92	1219	8
92	25814	9
92	67410	10
93	354716	1
93	6341	2
93	292748	3
93	274721	4
93	19233	5
93	15202	6
93	195207	7
93	147163	8
93	268747	9
93	233751	10
95	183839	1
95	24676	2
95	113134	3
95	1366	4
95	6341	5
95	206346	6
95	222073	7
95	128533	8
95	555494	9
95	222665	10
96	184698	1
96	466213	2
96	437178	3
96	13398	4
96	330	5
96	3169	6
96	12655	7
96	1926	8
96	2413	9
96	132	10
97	365197	1
97	305097	2
97	484201	3
97	30322	4
97	41356	5
97	378161	6
97	341508	7
97	144111	8
97	40227	9
97	579165	10
99	153679	1
99	123902	2
99	193081	3
99	474248	4
99	493638	5
99	213236	6
99	104572	7
99	115968	8
99	29849	9
99	47450	10
102	56794	1
102	490223	2
102	1103	3
102	10531	4
102	494264	5
